Norderstedt_Mitte Richtweg
Richtweg Garstedt
Garstedt Ochsenzoll
Ochsenzoll Kiwittsmoor
Kiwittsmoor Langenhorn_Nord
Langenhorn_Nord Langenhorn_Markt
Langenhorn_Markt Fuhlsbüttel_Nord
Fuhlsbüttel_Nord Fuhlsbüttel
Fuhlsbüttel Klein_Borstel
Klein_Borstel Ohlsdorf
Ohlsdorf Sengelmannstraße_(City_Nord)
Sengelmannstraße_(City_Nord) Alsterdorf
Alsterdorf Lattenkamp_(Sporthalle)
Lattenkamp_(Sporthalle) Hudtwalckerstraße
Hudtwalckerstraße Kellingusenstraße
Kellingusenstraße Klosterstern
Klosterstern Hallerstraße
Hallerstraße Stephansplatz_(Oper/CCH)
Stephansplatz_(Oper/CCH) Jungfernstieg
Jungfernstieg Meßberg
Meßberg Steinstraße
Steinstraße Hauptbahnhof_Nord
Hauptbahnhof_Nord Lohmühlenstraße
Lohmühlenstraße Lübecker_Straße
Lübecker_Straße Wartenau
Wartenau Ritterstraße
Ritterstraße Wandsbeker_Chaussee
Wandsbeker_Chaussee Wandsbek_Markt
Wandsbek_Markt Straßburger_Straße
Straßburger_Straße Alter_Teichweg
Alter_Teichweg Wandsbek-Gartenstadt
Wandsbek-Gartenstadt Trabrennbahn
Trabrennbahn Farmsen
Farmsen Berne
Berne Meiendorfer_Weg
Meiendorfer_Weg Volksdorf
Schippelsweg Joachim-Mähl-Straße
Joachim-Mähl-Straße Niendorf_Markt
Niendorf_Markt Hagendeel
Hagendeel Hagenbecks_Tierpark
Hagenbecks_Tierpark Lutterothstraße
Lutterothstraße Osterstraße
Osterstraße Emilienstraße
Emilienstraße Christuskirche
Christuskirche Schlump
Schlump Messehallen
Messehallen Gänsemarkt_(Oper)
Gänsemarkt_(Oper) Jungfernstieg
Jungfernstieg Hauptbahnhof_Nord
Hauptbahnhof_Nord Berliner_Tor
Berliner_Tor Burgstraße
Burgstraße Hammer_Kirche
Hammer_Kirche Rauhes_Haus
Rauhes_Haus Horner_Rennbahn
Horner_Rennbahn Legienstraße
Legienstraße Billstedt
Billstedt Merkenstraße
Merkenstraße Steinfurther_Allee
Steinfurther_Allee Mümmelmannsberg
Wandsbek-Gartenstadt Habichtstraße
Habichtstraße Barmbek
Barmbek Dehnhaide
Dehnhaide Hamburger_Straße
Hamburger_Straße Mundsburg
Mundsburg Uhlandstraße
Uhlandstraße Lübecker_Straße
Lübecker_Straße Berliner_Tor
Berliner_Tor Hauptbahnhof_Nord
Hauptbahnhof_Nord Mönckebergstraße
Mönckebergstraße Jungfernstieg
Jungfernstieg Rödingsmarkt
Rödingsmarkt Baumwall_(Elbphilharmonie)
Baumwall_(Elbphilharmonie) Landungsbrücken
Landungsbrücken St._Pauli
St._Pauli Feldstraße_(Heiligengeistfeld)
Feldstraße_(Heiligengeistfeld) Sternschanze_(Messe)
Sternschanze_(Messe) Schlump
Schlump Hoheluftbrücke
Hoheluftbrücke Eppendorfer_Baum
Eppendorfer_Baum Kellingusenstraße
Kellingusenstraße Sierichstraße
Sierichstraße Borgweg_(Stadtpark)
Borgweg_(Stadtpark) Saarlandstraße
Saarlandstraße Barmbek
HafenCity_Universität Überseequartier
Überseequartier Jungfernstieg
Jungfernstieg Hauptbahnhof_Nord
Hauptbahnhof_Nord Berliner_Tor
Berliner_Tor Burgstraße
Burgstraße Hammer_Kirche
Hammer_Kirche Rauhes_Haus
Rauhes_Haus Horner_Rennbahn
Horner_Rennbahn Legienstraße
Legienstraße Billstedt
Großhansdorf Kiekut
Kiekut Schmalenbeck
Schmalenbeck Ahrensburg_Ost
Ahrensburg_Ost Ahrensburg_West
Ahrensburg_West Buchenkamp
Buchenkamp Volksdorf
Ohlstedt Hoisbüttel
Hoisbüttel Buckhorn
Buckhorn Volksdorf
