South_Ferry Rector_Street
Rector_Street Park_Place
Park_Place Park_Place
Park_Place Franklin_Street
Franklin_Street Houston_Street
Houston_Street 14th_Street
14th_Street 18th_Street
18th_Street 23rd_Street
23rd_Street 28th_Street
28th_Street 42nd_Street_-_Times_Square
42nd_Street_-_Times_Square 50th_Street
50th_Street 59th_Street–Columbus_Circle
59th_Street–Columbus_Circle 66th_Street–Lincoln_Center
66th_Street–Lincoln_Center 72nd_Street
72nd_Street 79th_Street
79th_Street 86th_Street
86th_Street 96th_Street
96th_Street 103rd_Street
103rd_Street 110th_Street–Cathedral_Parkway
110th_Street–Cathedral_Parkway 116th_Street–Columbia_University
116th_Street–Columbia_University 125th_Street
125th_Street 137th_Street-City_College
137th_Street-City_College 145th_Street
145th_Street 157th_Street
157th_Street 168th_Street
168th_Street 181st_Street
181st_Street 191st_Street
191st_Street Dyckman_Street
Dyckman_Street 207th_Street
207th_Street 215th_Street
215th_Street Marble_Hill-225th_Street
Marble_Hill-225th_Street 231st_Street
231st_Street 238th_Street
238th_Street Van_Cortlandt_Park-242nd_Street
Wakefield-241st_Street Nereid_Avenue
Nereid_Avenue 233rd_Street
233rd_Street 225th_Street
225th_Street 219th_Street
219th_Street Gun_Hill_Road
Gun_Hill_Road Burke_Avenue
Burke_Avenue Allerton_Avenue
Allerton_Avenue Pelham_Parkway
Pelham_Parkway Bronx_Park_East
Bronx_Park_East East_180th_Street
East_180th_Street West_Farms_Square-East_Tremont_Avenue
West_Farms_Square-East_Tremont_Avenue 174th_Street
174th_Street Freeman_Street
Freeman_Street Simpson_Street
Simpson_Street Intervale_Avenue
Intervale_Avenue Prospect_Avenue
Prospect_Avenue Jackson_Avenue
Jackson_Avenue 3rd_Avenue_-_149th_Street
3rd_Avenue_-_149th_Street 149th_Street_-_Grand_Concourse
149th_Street_-_Grand_Concourse 135th_Street
135th_Street 125th_Street
125th_Street 116th_Street
116th_Street 110_Street-Central_Park_North
110_Street-Central_Park_North 96th_Street
96th_Street 72nd_Street
72nd_Street 42nd_Street_-_Times_Square
42nd_Street_-_Times_Square 34th_Street_-_Penn_Station
34th_Street_-_Penn_Station 14th_Street
14th_Street Park_Place
Park_Place Park_Place
Park_Place Fulton_Street
Fulton_Street Wall_Street
Wall_Street Clark_Street_(2,3)
Clark_Street_(2,3) Borough_Hall
Borough_Hall Hoyt_Street-Fulton_Mall
Hoyt_Street-Fulton_Mall Nevins_Street
Nevins_Street Atlantic_Avenue_-_Barclays_Center
Atlantic_Avenue_-_Barclays_Center Bergen_Street
Bergen_Street Grand_Army_Plaza
Grand_Army_Plaza Eastern_Parkway-Brooklyn_Museum
Eastern_Parkway-Brooklyn_Museum Franklin_Avenue
Franklin_Avenue President_Street
President_Street Sterling_Street
Sterling_Street Winthrop_Street
Winthrop_Street Church_Avenue
Church_Avenue Beverly_Road
Beverly_Road Newkirk_Avenue
Newkirk_Avenue Flatbush_Avenue-Brooklyn_College
New_Lots_Avenue Van_Siclen_Avenue
Van_Siclen_Avenue Pennsylvania_Avenue
Pennsylvania_Avenue Junius_Street
Junius_Street Rockaway_Avenue
Rockaway_Avenue Saratoga_Avenue
Saratoga_Avenue Sutter_Avenue–Rutland_Road
Sutter_Avenue–Rutland_Road Crown_Heights-Utica_Avenue
Crown_Heights-Utica_Avenue Kingston_Avenue
Kingston_Avenue Nostrand_Avenue
Nostrand_Avenue Franklin_Avenue
Franklin_Avenue Eastern_Parkway_-_Brooklyn_Museum
Eastern_Parkway_-_Brooklyn_Museum Grand_Army_Plaza
Grand_Army_Plaza Bergen_Street
Bergen_Street Atlantic_Avenue_-_Barclays_Center
Atlantic_Avenue_-_Barclays_Center Nevins_Street
Nevins_Street Hoyt_Street
Hoyt_Street Borough_Hall
Borough_Hall Clark_Street
Clark_Street Wall_Street
Wall_Street Fulton_Street
Fulton_Street Park_Place
Park_Place Park_Place
Park_Place 14th_Street
14th_Street 34th_Street–Penn_Station
34th_Street–Penn_Station 42nd_Street_-_Times_Square
42nd_Street_-_Times_Square 72nd_Street
72nd_Street 96th_Street
96th_Street 110_Street–Central_Park_North
110_Street–Central_Park_North 116th_Street
116th_Street 125th_Street
125th_Street 135th_Street
135th_Street 145th_Street
145th_Street Harlem-148th_Street
Crown_Heights-Utica_Avenue Kingston_Avenue
Kingston_Avenue Nostrand_Avenue
Nostrand_Avenue Franklin_Avenue
Franklin_Avenue Atlantic_Avenue_-_Barclays_Center
Atlantic_Avenue_-_Barclays_Center Nevins_Street
Nevins_Street Bowling_Green
Bowling_Green Wall_Street
Wall_Street Fulton_Street
Fulton_Street Brooklyn_Bridge–City_Hall
Brooklyn_Bridge–City_Hall Spring_Street
Spring_Street Bleecker_Street
Bleecker_Street Astor_Place
Astor_Place 14th_Street–Union_Square
14th_Street–Union_Square 23rd_Street
23rd_Street 28th_Street
28th_Street 33rd_Street
33rd_Street 42nd_Street–Grand_Central
42nd_Street–Grand_Central 51st_Street
51st_Street 59th_Street
59th_Street 86th_Street
86th_Street 125th_Street
125th_Street 149th_Street_-_Grand_Concourse
149th_Street_-_Grand_Concourse 161st_Street-Yankee_Stadium
161st_Street-Yankee_Stadium 167th_Street
167th_Street Mount_Eden_Avenue
Mount_Eden_Avenue 176th_Street
176th_Street Burnside_Avenue
Burnside_Avenue 183rd_Street
183rd_Street Fordham_Road
Fordham_Road Kingsbridge_Road
Kingsbridge_Road Bedford_Park_Boulevard-Lehman_College
Bedford_Park_Boulevard-Lehman_College Mosholu_Parkway
Mosholu_Parkway Woodlawn
Flatbush_Avenue-Brooklyn_College Newkirk_Avenue
Newkirk_Avenue Beverly_Road
Beverly_Road Church_Avenue
Church_Avenue Winthrop_Street
Winthrop_Street Sterling_Street
Sterling_Street President_Street
President_Street Franklin_Avenue
Franklin_Avenue Atlantic_Avenue_-_Barclays_Center
Atlantic_Avenue_-_Barclays_Center Nevins_Street
Nevins_Street Bowling_Green
Bowling_Green Wall_Street
Wall_Street Fulton_Street
Fulton_Street Brooklyn_Bridge–City_Hall
Brooklyn_Bridge–City_Hall 14th_Street–Union_Square
14th_Street–Union_Square 42nd_Street–Grand_Central
42nd_Street–Grand_Central 59th_Street
59th_Street 86th_Street
86th_Street 125th_Street
